Democrats,Republicans,Others,Total,ED,RD,year,month,county
394,373,295,1062,14,12,2018,November,New Castle
921,411,571,1903,01,13,2018,November,New Castle
658,271,387,1316,02,13,2018,November,New Castle
402,51,82,535,03,13,2018,November,New Castle
864,386,520,1770,04,13,2018,November,New Castle
996,372,561,1929,05,13,2018,November,New Castle
1002,470,612,2084,06,13,2018,November,New Castle
355,130,196,681,07,13,2018,November,New Castle
1324,334,551,2209,08,13,2018,November,New Castle
1038,274,447,1759,09,13,2018,November,New Castle
380,172,239,791,10,13,2018,November,New Castle
455,87,175,717,11,13,2018,November,New Castle
10,2,6,18,12,13,2018,November,New Castle
120,20,37,177,13,13,2018,November,New Castle
1156,536,677,2369,01,15,2018,November,New Castle
1091,595,606,2292,02,15,2018,November,New Castle
1294,478,556,2328,03,15,2018,November,New Castle
627,302,293,1222,04,15,2018,November,New Castle
1634,580,653,2867,05,15,2018,November,New Castle
1093,257,450,1800,06,15,2018,November,New Castle
890,418,438,1746,07,15,2018,November,New Castle
589,321,336,1246,08,15,2018,November,New Castle
317,228,226,771,09,15,2018,November,New Castle
1576,361,563,2500,10,15,2018,November,New Castle
1116,335,450,1901,01,16,2018,November,New Castle
1525,171,353,2049,02,16,2018,November,New Castle
1334,64,189,1587,03,16,2018,November,New Castle
645,150,257,1052,04,16,2018,November,New Castle
1539,130,246,1915,05,16,2018,November,New Castle
1079,137,246,1462,06,16,2018,November,New Castle
928,113,242,1283,07,16,2018,November,New Castle
1437,219,324,1980,08,16,2018,November,New Castle
221,90,89,400,09,16,2018,November,New Castle
1054,271,449,1774,10,16,2018,November,New Castle
845,228,338,1411,01,17,2018,November,New Castle
1970,217,443,2630,02,17,2018,November,New Castle
1325,285,350,1960,03,17,2018,November,New Castle
701,338,334,1373,04,17,2018,November,New Castle
709,276,364,1349,05,17,2018,November,New Castle
95,60,65,220,06,17,2018,November,New Castle
868,256,383,1507,07,17,2018,November,New Castle
662,138,192,992,08,17,2018,November,New Castle
630,262,293,1185,09,17,2018,November,New Castle
922,247,397,1566,10,17,2018,November,New Castle
1170,308,499,1977,11,17,2018,November,New Castle
1433,453,597,2483,01,18,2018,November,New Castle
834,293,403,1530,02,18,2018,November,New Castle
624,234,272,1130,03,18,2018,November,New Castle
1212,370,397,1979,04,18,2018,November,New Castle
895,343,387,1625,05,18,2018,November,New Castle
1192,319,437,1948,06,18,2018,November,New Castle
606,239,335,1180,07,18,2018,November,New Castle
906,225,342,1473,08,18,2018,November,New Castle
749,269,314,1332,09,18,2018,November,New Castle
499,189,209,897,10,18,2018,November,New Castle
885,372,480,1737,01,19,2018,November,New Castle
687,298,388,1373,02,19,2018,November,New Castle
620,429,437,1486,03,19,2018,November,New Castle
869,403,525,1797,04,19,2018,November,New Castle
836,429,526,1791,05,19,2018,November,New Castle
250,91,139,480,06,19,2018,November,New Castle
548,270,302,1120,07,19,2018,November,New Castle
750,410,519,1679,08,19,2018,November,New Castle
720,376,457,1553,09,19,2018,November,New Castle
489,252,310,1051,10,19,2018,November,New Castle
180,87,126,393,11,19,2018,November,New Castle
803,197,301,1301,12,19,2018,November,New Castle
352,280,230,862,01,21,2018,November,New Castle
690,395,442,1527,02,21,2018,November,New Castle
828,575,524,1927,03,21,2018,November,New Castle
844,479,523,1846,04,21,2018,November,New Castle
770,659,532,1961,05,21,2018,November,New Castle
862,569,578,2009,06,21,2018,November,New Castle
53,109,71,233,07,21,2018,November,New Castle
1006,553,625,2184,08,21,2018,November,New Castle
376,273,280,929,09,21,2018,November,New Castle
912,611,593,2116,10,21,2018,November,New Castle
946,519,662,2127,11,21,2018,November,New Castle
563,640,486,1689,01,22,2018,November,New Castle
451,516,431,1398,02,22,2018,November,New Castle
539,619,464,1622,03,22,2018,November,New Castle
501,613,440,1554,04,22,2018,November,New Castle
764,903,648,2315,05,22,2018,November,New Castle
252,276,238,766,06,22,2018,November,New Castle
1080,697,724,2501,07,22,2018,November,New Castle
531,398,376,1305,08,22,2018,November,New Castle
519,480,350,1349,09,22,2018,November,New Castle
520,476,431,1427,10,22,2018,November,New Castle
783,637,589,2009,11,22,2018,November,New Castle
411,428,319,1158,12,22,2018,November,New Castle
281,105,186,572,01,23,2018,November,New Castle
734,524,522,1780,02,23,2018,November,New Castle
547,392,390,1329,03,23,2018,November,New Castle
956,521,494,1971,04,23,2018,November,New Castle
961,326,513,1800,05,23,2018,November,New Castle
695,584,501,1780,06,23,2018,November,New Castle
570,450,428,1448,07,23,2018,November,New Castle
578,460,416,1454,08,23,2018,November,New Castle
188,244,177,609,09,23,2018,November,New Castle
953,479,578,2010,01,24,2018,November,New Castle
1072,389,490,1951,02,24,2018,November,New Castle
691,293,369,1353,03,24,2018,November,New Castle
626,144,246,1016,04,24,2018,November,New Castle
1200,425,580,2205,05,24,2018,November,New Castle
